titel;auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;isbn;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
500 appjes die ik niet wil lezen;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar rood;;;13.99;;;STOF;3,00E+13;22843887;N;B4;0;B;;4
54 minuten;Nijkamp, Marieke;YF0;Jongeren fictie grijs;NIJK;;0.00;;;;NA1110276;6109757;N;BA;0;B;;4
54 minuten : de schoolbel gaat, iemand begint te schieten;Nijkamp, Marieke;YF0;Adolescenten;NIJK;;17.95;;;;PI0763543;5723809;N;BA;0;B;;4
60 gags van Bollie en Billie;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.48;    ;;;NA0398888;2751144;N;S4;0;B;;4
60 gags van Bollie en Billie;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.60;    ;;;NA039887X;2751143;N;S4;0;B;;4
60 gags van Bollie en Billie;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.85;    ;;;NA0398918;2751145;N;S4;0;B;;4
60 grappen van Bollie en Billie nr. 4;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.85;    ;;;NA0398896;2751157;N;S4;0;B;;4
60 strip-mopjes om zelf te lezen;Peyo;JFA;Jeugd fictie 7-8 jaar geel;PEYO;;9.99;;;;NA0868728;5124827;N;B4;0;B;;4
67 seconden;Reynolds, Jason;YF0;Adolescenten;REYN;;17.50;;;;PI0842575;6196850;N;BA;0;B;;4
67 seconden;Reynolds, Jason;YF0;Jongeren fictie grijs;REYN;;16.99;    ;;;NA1100181;6196846;N;BA;0;B;;4
700 dingen om te maken en te doen;Watt, Fiona;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;17.95;;;;PI0548685;4153480;N;B5;0;B;;5
72 must have tips : handlettering doe je zo! hoe? zoo : alles wat;Luttenberg, Karin;JIO;Jeugd info: vrije tijd - kunst;;VRTEK;14.99;    ;;;3,00E+13;14637933;N;B5;0;U;;5
77 superslimme dingen die je moet weten over mijn en jouw thuis;Masters, Mathilda;JIN;Jeugd info: dagelijks leven;;DAWON;10.99;;;;3,00E+13;28906488;N;B5;0;B;;5
77 superslimme dingen die je moet weten over mijn en jouw thuis;Masters, Mathilda;JIN;Jeugd info: dagelijks leven;9+ - rood;DAWON;10.99;;;;3,00E+13;28906883;N;B5;0;B;;5
9;Acker, Shane;FSJ;Speelfilms jeugd;9;;20.71;;;;NA071223X;3973859;N;D4;9;B;;2
9/nov;Gratz, Alan;JFC;Jeugd fictie 12-14 jaar;;;15.99;;;GRAT;3,00E+13;17784003;N;B4;0;B;;4
9/nov;Gratz, Alan;JFC;Jeugd fictie 12-14 jaar blauw;;;15.99;;;GRAT;3,00E+13;21639371;N;B4;0;U;;4
96 uur;Mythic;JFC;Jeugd fictie 12-14 jaar blauw;Rubine;;4.99;    ;;;NA0953075;2607956;N;S4;0;B;;4
97 kinderliedjes;Van der Steen, Franciska;JIO;Jeugd info: vrije tijd - kunst;;VRLIE;5.95;    ;;;NA0494097;3090058;N;B3;0;A;;3
99 plus;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;3.60;    ;;;NA0845248;4067082;N;S4;0;U;;4
99 plus;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;4.99;    ;;;NA074395X;4067083;N;S4;0;B;;4
99 vragen over de Oude Grieken : met antwoorden!;Savery, Annabel;JIK;Jeugd info: geschiedenis;;GEGRI;16.95;;;SAVE;#250805032073482;32073482;N;B5;0;I;;5
99 vragen over de Romeinen : met antwoorden!;Savery, Annabel;JIK;Jeugd info: geschiedenis;;GEGRI;16.95;;;SAVE;#250805032073481;32073481;N;B5;0;I;;5
99 vragen over de Vikingen : met antwoorden!;Savery, Annabel;JIK;Jeugd info: geschiedenis;;GEMID;16.95;;;SAVE;#250805032073480;32073480;N;B5;0;I;;5
A Christmas carol;Zemeckis, Robert;FSJ;Speelfilms jeugd;CHRI;;17.50;;;;NA0796840;4211267;N;D4;9;B;;2
A dangerous path;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar;ENGE;;8.99;;;HUNT;3,00E+13;17618643;N;B4;0;B;;4
A darkling plain;Reeve, Philip;YF0;Adolescenten;;;19.99;    ;;REEV;3,00E+13;7742539;N;BA;0;B;;4
A is een koetje (dat staat op zijn kop) : het verhaal van het sch;Berkel, Rob;JIP;Jeugd info: taal;;TABOE;0.00;;;;PI0353531;2904103;N;B5;0;A;;5
A is van Agent, B is van Boef;Veldkamp, Tjibbe;JFA;Jeugd fictie 7-8 jaar geel;;;16.99;;;VELD;#241029030819370;30819370;N;B4;0;I;;4
A is van Os : waar komen onze letters vandaan?;Autobahn (ontwerpstudio);JIP;Jeugd info: taal;;TABOE;20.99;;;;NA1172476;6154654;N;B5;0;B;;5
A language of dragons : elke vlam begint met een enkele vonk;Williamson, S.F.;YF0;Jongeren fictie grijs;;;24.99;;;WILL;3,00E+13;31345514;N;B4;0;B;;4
A map of days;Riggs, Ransom;YF0;Jongeren fictie grijs;;;19.95;    ;;RIGG;NA1114662;6268834;N;BA;0;B;;4
A new hope;Ferrari, Alessandro;SJB;Strips jeugd 9-11 jaar;Star Wars;;8.95;    ;;;NA0927236;5468036;N;S4;0;U;;4
A...a...aliens!;Nix;SJB;Strips jeugd 9-11 jaar;Buurtpolitie;;6.50;    ;;;3,00E+13;17177432;N;S4;0;U;;4
A...a...aliens!;Nix;SJB;Strips jeugd 9-11 jaar;Buurtpolitie;;6.50;    ;;;3,00E+13;17177423;N;S4;0;U;;4
A.I.M. aan de macht!;Manning, Matthew K;SJB;Strips jeugd 9-11 jaar;Avengers;;9.95;    ;;;3,00E+13;30765909;N;S4;0;U;;4
Aaah ... gent !;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Agent 212;;2.75;    ;;;NA0399434;4513397;N;S4;0;B;;4
Aaf en het brievenmysterie;Berends, Nienke;JFA;Jeugd fictie 7-8 jaar geel;;;15.95;;;BERE;3,00E+13;28130497;N;B4;0;B;;4
Aaf gaat ondergronds;Berends, Nienke;JFB;Jeugd fictie 9-11 jaar;;;11.95;;;BERE;3,00E+13;17640277;N;B4;0;B;;4
Aaf gaat ondergronds;Berends, Nienke;JFB;Jeugd fictie 9-11 jaar rood;;;11.95;    ;;BERE;3,00E+13;17659107;N;B4;0;B;;4
Aaf graaft door;Berends, Nienke;JFB;Jeugd fictie 9-11 jaar;;;16.95;;;BERE;3,00E+13;28096604;N;B4;0;B;;4
Aaf graaft door;Berends, Nienke;JFB;Jeugd fictie 9-11 jaar rood;;;16.95;;;BERE;3,00E+13;28131444;N;B4;0;B;;4
Aan alle jongens van wie ik hield;Han, Jenny;YF0;Jongeren fictie grijs;HAN;;14.50;;;;NA1111361;6223726;N;BA;0;B;;4
Aan alle jongens van wie ik hield;Han, Jenny;YF0;Jongeren fictie grijs;HAN;;19.99;;;;NA1080687;5589234;N;BA;0;B;;4
Aan boord van de spaceshuttle;Stott, Carole;JII;Jeugd info: aarde - heelal;;AASTE;0.00;;;;NA0271578;2839887;N;B5;0;B;;5
Aan boord van de Titanic : adembenemende nieuwe beelden gemaakt m;Chrisp, Peter;JIG;Jeugd info: verkeer;9+ - rood;VESCH;14.95;;;;NA0822647;4384906;N;B5;0;B;;5
Aan de bal;Dijkzeul, Lieneke;JFC;Jeugd fictie 12-14 jaar blauw;DIJK;;15.95;;;;NA0552992;2978224;N;B4;0;B;;4
Aan de galg;Duchateau, André-Paul;SJB;Strips jeugd 9-11 jaar;Rik Ringers;;5.25;;;;NA0620467;6551362;N;S4;0;B;;4
Aan de grond;Legendre, Marc;SJB;Strips jeugd 9-11 jaar;Sam;;4.99;;;;NA0646830;4304218;N;S4;0;B;;4
Aan de kant, ik ben je oma niet!;Westera, Bette;JFB;Jeugd fictie 9-11 jaar rood;WEST;;19.95;;;;NA0820024;4646503;N;B4;0;B;;4
Aan de overkant van de Styx;Bréda, Mathieu;SJB;Strips jeugd 9-11 jaar;Alex;;7.50;    ;;;NA0972274;5593599;N;S4;0;B;;4
Aan de rand van de stilte;Van Heugten, Anneriek;JFC;Jeugd fictie 12-14 jaar;HEUG;;15.95;;;;PI0681709;5233410;N;B4;0;B;;4
Aan de slag met elektronica voor kids;Shamieh, Cathleen;JIF;Jeugd info: wetenschappen;;WTNAT;9.99;;;;PI0834858;6162611;N;B5;0;B;;5
Aan de slag met elektronica voor kids;Shamieh, Cathleen;JIF;Jeugd info: wetenschappen;9+ - rood;WTNAT;14.99;;;;NA0985473;6162609;N;B5;0;B;;5
Aan de slag met Findus : het knutselboek voor binnen en buiten;Nordqvist, Sven;JIO;Jeugd info: vrije tijd - kunst;;VRKNU;15.99;;;;NA1093657;5992028;N;B5;0;A;;5
Aan het dromen?;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Cédric;;5.25;    ;;;NA0596329;3382784;N;S4;0;B;;4
Aan het einde van de wereld;Frigiel;SJA;Strips jeugd 6-8 jaar;Frigiel en Fluffy;;9.95;    ;;;3,00E+13;31717458;N;S4;0;B;;4
Aan het hof van Eden;Charbonneau, Joelle;YF0;Adolescenten;CHAR;;17.99;;;;PI0791334;5883262;N;BA;0;B;;4
Aan tafel met de Zoete Zusjes;de Zoete, Hanneke;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;22.50;;;;3,00E+13;26699318;N;B5;0;U;;5
Aan tranen heb je toch niks;Dekko, Espen;JFB;Jeugd fictie 9-11 jaar;DEKK;;15.95;;;;PI084831X;6363043;N;B4;0;B;;4
Aan tranen heb je toch niks;Dekko, Espen;JFB;Jeugd fictie 9-11 jaar rood;DEKK;;15.95;;;;NA1175211;6363040;N;B4;0;B;;4
Aan zee : 23 zomerse kinderliedjes;Kapitein Winokio;JIO;Jeugd info: vrije tijd - kunst;;VRLIE;22.95;;;;3,00E+13;12137316;N;B5;0;M;;5
Aan zeer scherpe prijzen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;0.00;    ;;;3,00E+13;26848441;N;S4;0;B;;4
Aan zeer scherpe prijzen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;7.50;    ;;;3,00E+13;26848415;N;S4;0;U;;4
Aanbiddelijk;Von Ziegesar, Cecily;JFC;Jeugd fictie 12-14 jaar;ZIEG;;0.00;;;;PI0521205;3947023;N;B4;0;B;;4
Aangerand!;Defauw, Marina;YF0;Jongeren fictie grijs;DEFA;;14.75;;;;NA0599263;3115126;N;BA;0;A;;4
Aangeschoten;Reyes, M.G.;YF0;Jongeren fictie grijs;REYE;;0.00;;;;NA0975834;5746989;N;BA;0;A;;4
Aangespoeld;Woltz, Anna;JFB;Jeugd fictie 9-11 jaar;WOLT;;0.00;;;;PI0447943;3387749;N;B4;0;B;;4
Aanpassing;Waldron, Melanie;JIH;Jeugd info: natuur;9+ - rood;NANAT;0.00;;;;NA1027344;5664851;N;B5;0;B;;5
Aanslag op Engeland;Van Rijckeghem, Jean-Claude;SJC;Strips jeugd 12-14 jaar;Betty en Dodge;;6.50;    ;;;NA0746452;4210613;N;S4;0;B;;4
Aansluiting met de eeuwigheid;Makyo, Pierre;SJC;Strips jeugd 12-14 jaar;Ik ben een Kathaar;;8.95;    ;;;NA0791342;4389520;N;S4;0;B;;4
Aapjes in de val;Bon, Annemarie;JMA;Jeugd makkelijk lezen 6-8 j;AVI M4;;8.15;;;;NA0443964;2859701;N;B4;0;B;;5
Aardbevingen;Amson-Bradshaw, Georgia;JII;Jeugd info: aarde - heelal;;AAAAR;14.00;;;;NA1118579;6280180;N;B5;0;B;;5
Aardbevingen;Amson-Bradshaw, Georgia;JII;Jeugd info: aarde - heelal;;AAAAR;14.00;;;;PI0837555;6280181;N;B5;0;B;;5
Aardbevingen;Carr, Aaron;JII;Jeugd info: aarde - heelal;;AAAAR;19.50;;;;NA1040391;5663308;N;B5;0;B;;5
Aardbevingen;Van Hest, Pimm;JII;Jeugd info: aarde - heelal;;AAAAR;15.95;;;;PI0774960;5873113;N;B5;0;B;;5
Aardbevingen;Van Hest, Pimm;JII;Jeugd info: aarde - heelal;;AAAAR;16.95;;;;NA1093789;5873110;N;B5;0;B;;5
Aardbijen met slagroom;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar;BEL;;13.50;;;;PI051151X;3899199;N;B4;0;B;;4
Aardbijen met slagroom;De Bel, Marc;JFB;Jeugd fictie 9-11 jaar rood;DEBE;;13.50;;;;NA088703X;3899195;N;B4;0;B;;4
Aarde en heelal;Mason, Paul;JII;Jeugd info: aarde - heelal;9+ - rood;AASTE;18.00;;;;3,00E+13;30993766;N;B5;0;U;;5
Aardekinderen : Stier 21 april-20 mei, Maagd 23 augustus-22 septe;Walbrecker, Dorothé;JIL;Jeugd info: geloven - denken;;DEGEL;0.00;;;;NA0277789;2801876;N;B5;0;B;;5
Aaricia;Van Hamme, Jean;SJC;Strips jeugd 12-14 jaar;Thorgal;;0.00;    ;;;NA004055X;4107212;N;S4;0;B;;4
Aartsrivaal;Meyer, Marissa;YF0;Adolescenten;;;20.99;;;MEYE;3,00E+13;14140746;N;BA;0;B;;4
Aartsrivaal;Meyer, Marissa;YF0;Jongeren fictie grijs;;;19.99;;;MEYE;3,00E+13;25669550;N;B4;0;B;;4
Aartsrivaal;Meyer, Marissa;YF0;Jongeren fictie grijs;;;19.99;;;MEYE;3,00E+13;25783366;N;B4;0;A;;4
Aartsrivaal;Van Gemert, Gerard;JFA;Jeugd fictie 7-8 jaar geel;VANG;;9.95;;;;NA0978205;5794021;N;B4;0;B;;4
ABC Dring!;Estellon, Pascale;GEJ;Spellen jeugd;;;0.00;    ;;;3,00E+13;17707362;N;LN;0;U;;4
ABC Dring!;Estellon, Pascale;GEJ;Spellen jeugd;;;14.90;;;;NA1113887;5567913;N;LN;0;M;;5
ABC, zing maar mee : het alfabet op toon gezet;Kapitein Winokio;JIO;Jeugd info: vrije tijd - kunst;;VRLIE;0.00;;;;PI0701017;5498239;N;B5;0;B;;4
Abeltje;Schmidt, Annie M.G.;JFB;Jeugd fictie 9-11 jaar;SCHM;;14.95;;;;PI0563803;4306991;N;B4;0;B;;4
"Abeltje ; De A van Abeltje";Schmidt, Annie M.G.;JFA;Jeugd fictie 7-8 jaar geel;SCHM;;0.00;;;;NA0941778;3353412;N;B4;0;B;;4
Academicus vampyrus;Mead, Richelle;YF0;Jongeren fictie grijs;MEAD;;0.00;;;;NA0739456;4155333;N;BA;0;A;;4
Acht dagen rotzomer;De Lathouder, Janna;JFB;Jeugd fictie 9-11 jaar;;;15.99;;;LATH;3,00E+13;31894817;N;B4;0;B;;4
Acht dagen rotzomer;De Lathouder, Janna;JFB;Jeugd fictie 9-11 jaar rood;;;15.99;;;DELA;3,00E+13;31904417;N;B4;0;F;;4
Acht ogen, acht poten;De Bel, Marc;SJB;Strips jeugd 9-11 jaar;Marc de Bel - De Boeboeks;;0.00;    ;;;NA0373532;3271452;N;S4;0;U;;4
Acht ogen, acht poten;De Bel, Marc;SJB;Strips jeugd 9-11 jaar;Marc de Bel - De Boeboeks;;0.00;    ;;;NA0747432;3271453;N;S4;0;B;;4
Acht uur in Berlijn;Bocquet;SJC;Strips jeugd 12-14 jaar;Blake en Mortimer;;11.99;    ;;;3,00E+13;26999570;N;S4;0;B;;4
Achtbaan;Girard-Audet, Catherine;JFC;Jeugd fictie 12-14 jaar blauw;GIRA;;13.95;;;;NA1149350;5772774;N;B4;0;B;;4
Achter de bergen;Gibbons, Francesca;JFB;Jeugd fictie 9-11 jaar rood;;;19.99;;;GIBB;3,00E+13;24833952;N;B4;0;B;;4
Achter de draad;Kuyper, Hans;JFB;Jeugd fictie 9-11 jaar;KUYP;;14.99;;;;PI0684430;5138462;N;B4;0;B;;4
Achter de draad;Kuyper, Hans;JFB;Jeugd fictie 9-11 jaar rood;KUYP;;14.99;    ;;;NA0932515;5138459;N;B4;0;B;;4
Achter de heuvels;Vanacker, Hans;JFB;Jeugd fictie 9-11 jaar;VANA;;14.95;;;;PI0690155;5428059;N;B4;0;B;;4
Achter de heuvels;Vanacker, Hans;JFB;Jeugd fictie 9-11 jaar rood;VANA;;14.95;;;;NA096512X;5428053;N;B4;0;B;;4
Achter de nevel;Jordan, Sophie;YF0;Jongeren fictie grijs;JORD;;15.95;;;;NA0800473;4697417;N;BA;0;B;;4
Achter de rokende bergen;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar;HUNT;;14.99;;;;PI0833207;5257589;N;B4;0;B;;4
Achter de rokende bergen;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar rood;HUNT;;14.99;;;;NA1101382;5257586;N;B4;0;U;;4
Achter de schermen in de dierentuin : breng een bezoekje aan de g;;JIH;Jeugd info: natuur;;NADIE;18.99;    ;;;3,00E+13;24103004;N;B5;0;U;;5
Achter de schermen in de dierentuin : breng een bezoekje aan de g;;JIH;Jeugd info: natuur;;NADTU;18.99;;;;3,00E+13;24218527;N;B5;0;B;;5
Achter de spiegel;Funke, Cornelia;JFC;Jeugd fictie 12-14 jaar;FUNK;;16.95;;;;PI0540773;4107412;N;B4;0;B;;4
Achter de spiegel;Funke, Cornelia;JFC;Jeugd fictie 12-14 jaar blauw;FUNK;;16.95;    ;;;NA0727547;4107409;N;B4;0;B;;4
Achter de stilte;Hanika, Beate Teresa;YF0;Jongeren fictie grijs;HANI;;14.95;;;;NA0732508;4183843;N;BA;0;B;;4
Achter de verte;Rompa, Bas;JP0;Jeugd poëzie;ROMP;;0.00;;;;NA0036102;6399542;N;B4;0;B;;4
Achter het donker;Boonen, Stefan;JFA;Jeugd fictie 7-8 jaar geel;BOON;;10.95;;;;NA0438677;2876165;N;B4;0;B;;4
Achter het licht;George, Elizabeth;YF0;Adolescenten;GEOR;;14.99;;;;PI0749613;5710030;N;BA;0;A;;4
Achteraf bekeken;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;7098421;N;S4;0;U;;4
Achteraf bekeken;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;7098430;N;S4;0;U;;4
Achtergelaten;Koster, Susanne;YF0;Jongeren fictie grijs;KOST;;17.95;;;;NA109386X;6103281;N;BA;0;B;;4
Achtervolging : ren voor je leven;Barclay, Linwood;JFC;Jeugd fictie 12-14 jaar;BARC;;15.00;;;;PI0837903;6287229;N;B4;0;B;;4
Achtervolging : ren voor je leven;Barclay, Linwood;JFC;Jeugd fictie 12-14 jaar blauw;BARC;;15.00;;;;NA112059X;6287226;N;B4;0;B;;4
Achtervolging in Argentinië;Stilton, Thea;JFA;Jeugd fictie 7-8 jaar geel;;;16.00;;;STIL;3,00E+13;30606125;N;B4;0;U;;4
Achtervolging in Argentinië;Stilton, Thea;JFB;Jeugd fictie 9-11 jaar;;;16.00;;;STIL;3,00E+13;30733385;N;B4;0;U;;4
Achtste-groepers huilen niet;Bots, Dennis;FSJ;Speelfilms jeugd;ACHT;;6.00;;;;NA0854263;4658128;N;D4;9;B;;2
Actie voor twee zeehondjes;Kuyper, Hans;JFA;Jeugd fictie 7-8 jaar geel;KUYP;;9.95;;;;NA0771171;4343611;N;B4;0;B;;4
Actie!;Bertram, Rüdiger;JFB;Jeugd fictie 9-11 jaar;BERT;;14.95;;;;PI0602051;4646024;N;B4;0;U;;4
Actie! : natuur voor coole kikkers;Cox, Michael (jeugdauteur (non;JIH;Jeugd info: natuur;;NANAT;14.95;;;;PI0613053;4580813;N;B5;0;A;;5
Actietreinen;Ball, Sarah;FSJ;Speelfilms jeugd;ACTI;;0.00;;;;PI0733547;4393631;N;D4;0;B;;4
AD(H)D wat doe je daarmee?! : zelfversterkingsgids voor jongeren;Lancel, Corine;YI0;Jongeren info;Diversiteit;;0.00;    ;;;3,00E+13;30998864;N;B3;0;U;;3
Ada : gevangen op twee eilanden;Dros, Imme;JFC;Jeugd fictie 12-14 jaar blauw;;;17.99;;;DROS;#241009030719593;30719593;N;B4;0;I;;4
Adams anatomie : het complete (en compleet onsmakelijke) boek ove;Kay, Adam;JIM;Jeugd info: mens;;MELAM;19.99;;;;3,00E+13;21621694;N;B5;0;U;;5
Adams anatomie : het complete (en compleet onsmakelijke) boek ove;Kay, Adam;JIM;Jeugd info: mens;;MELAM;19.99;;;;3,00E+13;21631758;N;B5;0;U;;5
Adams uitstekende uitvindingen;Kay, Adam;JIF;Jeugd info: wetenschappen;;WTUIT;19.99;;;;3,00E+13;31015000;N;B5;0;B;;5
Adams uitstekende uitvindingen;Kay, Adam;JIF;Jeugd info: wetenschappen;9+ - rood;WTUIT;19.99;;;;3,00E+13;31028307;N;B5;0;U;;5
Adams wonderlijke apotheek : van mummies tot bloedzuigers en ande;Kay, Adam;JIM;Jeugd info: mens;;MEZIE;19.99;;;;3,00E+13;27977198;N;B5;0;B;;5
Adams wonderlijke apotheek : van mummies tot bloedzuigers en ande;Kay, Adam;JIM;Jeugd info: mens;;MEZIE;19.99;;;;3,00E+13;26546483;N;B5;0;B;;5
Adelaar in de sneeuw;Morpurgo, Michael;JFB;Jeugd fictie 9-11 jaar;MORP;;16.95;;;;PI0750662;5638409;N;B4;0;B;;4
Adelaar in de sneeuw;Morpurgo, Michael;JFB;Jeugd fictie 9-11 jaar rood;MORP;;16.95;    ;;;NA1032496;5638406;N;B4;0;B;;4
Adelaarsspel;Horowitz, Anthony;JFC;Jeugd fictie 12-14 jaar;HORO;;0.00;;;;PI0350958;2693127;N;B4;0;B;;4
Adelaarsspel;Horowitz, Anthony;JFC;Jeugd fictie 12-14 jaar blauw;HORO;;16.95;;;;NA0460079;2693125;N;B4;0;B;;4
Adem in adem uit : reis in de aarde;Van Herck, Mieke;JIM;Jeugd info: mens;;MEGEV;18.00;;;;NA1173413;6228820;N;B5;0;U;;5
Ademloos;Armentrout, Jennifer L.;YF0;Adolescenten;ARME;;15.00;;;;PI0755664;5706890;N;BA;0;B;;4
Ademloos;Armentrout, Jennifer L.;YF0;Jongeren fictie grijs;ARME;;0.00;;;;NA1141856;5706887;N;BA;0;B;;4
Ademloos;Niven, Jennifer;YF0;Adolescenten;;;21.99;;;NIVE;3,00E+13;17538658;N;B4;0;B;;4
Ademloos;Niven, Jennifer;YF0;Jongeren fictie grijs;;;21.99;;;NIVE;3,00E+13;17636715;N;B4;0;U;;4
Ademloos;Van Gemert, Gerard;JFB;Jeugd fictie 9-11 jaar;GEME;;16.95;;;;PI0777358;5834010;N;B4;0;B;;4
ADHD;Pigache, Philippa;JIM;Jeugd info: mens;;MEZIE;0.00;;;;NA0506982;3121120;N;B5;0;B;;5
Adoptie;Backers, Richard;JIN;Jeugd info: dagelijks leven;9+ - rood ;DAGEZ;15.50;;;;3,00E+13;28151556;N;B5;0;B;;5
Adrenalinekick op het land : abseilen, freerunning en andere extr;Butler, Erin K.;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRSPO;15.00;;;;3,00E+13;28124911;N;B5;0;B;;5
Adres onbekend;Nielsen, Susin;JFC;Jeugd fictie 12-14 jaar;NIEL;;15.95;;;;PI0841994;6312059;N;B4;0;U;;4
Adres onbekend;Nielsen, Susin;JFC;Jeugd fictie 12-14 jaar blauw;NIEL;;15.95;    ;;;NA1171453;6312056;N;B4;0;B;;4
Adventures;;FSJ;Speelfilms jeugd;;;0.00;    ;;Litt;3,00E+13;26661071;N;D4;0;B;;4
Adzerk, de witte hengst;Hallberg, Lin;JFB;Jeugd fictie 9-11 jaar;HALL;;12.95;;;;PI0527645;3988410;N;B4;0;B;;4
Adzerk, de witte hengst;Hallberg, Lin;JFB;Jeugd fictie 9-11 jaar rood;HALL;;12.95;;;;NA0711640;3988408;N;B4;0;B;;4
Aelin;Bolt, Arienne;JFB;Jeugd fictie 9-11 jaar rood;;;16.99;;;BOLT;3,00E+13;32149794;N;B4;0;F;;4
Afblijven;Slee, Carry;JFC;Jeugd fictie 12-14 jaar blauw;SLEE;;10.00;;;;NA0934917;4867602;N;B4;0;B;;4
Afgang;Kowitt, H.N.;JFB;Jeugd fictie 9-11 jaar;KOWI;;14.99;;;;PI075692X;5682094;N;B4;0;B;;4
Afgang;Kowitt, H.N.;JFB;Jeugd fictie 9-11 jaar rood;KOWI;;14.99;;;;NA1084119;5682091;N;B4;0;B;;4
Afgelast wegens ziekte;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815160;4648522;N;S4;0;U;;4
Afgelast wegens ziekte;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.95;    ;;;3,00E+13;14629261;N;S4;0;U;;4
Afgesloten;Tardio, Natasza;JFC;Jeugd fictie 12-14 jaar;TARD;;7.50;;;;PI0794392;5973543;N;B4;0;B;;4
Afghanistan;Milivojevic, Jovanka JoAnn;JIJ;Jeugd info: landen;;LANDA;19.00;;;;PI073909X;5477863;N;B5;0;B;;5
Afrika;Bowden, Rob;JIJ;Jeugd info: landen;;LADEL;16.00;;;;PI0722669;5526662;N;B5;0;B;;5
Afrika;Bowden, Rob;JIJ;Jeugd info: landen;;LADEL;16.00;    ;;;NA0681040;4258974;N;B5;0;B;;5
Afrika;Cooke, Tim;JIK;Jeugd info: geschiedenis;;GEONT;19.00;;;;PI0698067;5383087;N;B5;0;B;;5
Afrika;Gogerly, Liz;JIJ;Jeugd info: landen;;LADEL;21.00;;;;3,00E+13;29217860;N;B5;0;B;;5
Afrika;Gogerly, Liz;JIJ;Jeugd info: landen;9+ - rood;LADEL;21.00;;;;3,00E+13;29331366;N;B5;0;B;;5
Afrika;Underwood, Deborah;JIJ;Jeugd info: landen;;LADEL;10.00;;;;PI0631612;3918713;N;B5;0;B;;5
Afrika : alles wat je altijd al wilde weten;Gifford, Clive;JIJ;Jeugd info: landen;;LADEL;14.99;;;;NA0907138;5085971;N;B5;0;B;;5
Afrika : alles wat je altijd al wilde weten;Gifford, Clive;JIJ;Jeugd info: landen;;LADEL;14.99;;;;PI067253X;5085974;N;B5;0;B;;5
Afrika : encyclopedie van een wonderbaarlijk continent;Chakanetsa, Kim;JIJ;Jeugd info: landen;;LADEL;24.99;;;;3,00E+13;28358425;N;B5;0;B;;5
Afrika : encyclopedie van een wonderbaarlijk continent;Chakanetsa, Kim;JIJ;Jeugd info: landen;9+ - rood;LADEL;24.99;;;;3,00E+13;28454946;N;B5;0;B;;5
Afrikaanse cultuur;Chambers, Catherine;JIJ;Jeugd info: landen;;LADEL;19.00;;;;PI0706205;5277298;N;B5;0;B;;5
Afscheid van Arthur;Kruijssen, Agave;JFB;Jeugd fictie 9-11 jaar rood;KRUI;;15.95;;;;NA0727016;4151895;N;B4;0;B;;4
Afspraak in Wonderland : wegwijzer voor kinderen van wie de ouder;Geyskens, Emy;JIN;Jeugd info: dagelijks leven;;DAGEZ;19.99;;;;3,00E+13;14122271;N;B5;0;B;;5
Afspraak in Wonderland : wegwijzer voor kinderen van wie de ouder;Geyskens, Emy;JIN;Jeugd info: dagelijks leven;;DAGEZ;19.99;;;;3,00E+13;14114555;N;B5;0;B;;5
After party : een feest verandert in een nachtmerrie...;Stoffels, Maren;JFC;Jeugd fictie 12-14 jaar;;;15.99;;;STOF;3,00E+13;31265861;N;B4;0;B;;4
After party : een feest verandert in een nachtmerrie...;Stoffels, Maren;YF0;Jongeren fictie grijs;;;15.99;;;STOF;3,00E+13;31520726;N;B4;0;U;;4
Aftrekken;Leffingwell, Richard;JIF;Jeugd info: wetenschappen;;WTWIS;10.00;;;;PI0629782;4407723;N;B5;0;B;;5
